标题,售价,单价,小区,商圈,户型,面积,朝向,装修,楼层,建筑结构,日期
全新毛坯大三房 诚心出售 楼层好 视野好。,60,4337,南郡明珠 ,暮云,3室2厅,138.37,南 北,毛坯,中楼层(共15层) ,暂无数据,暂无数据
满五唯一，户型周正，双阳台楼层好.............,98,7286,未来康桥长郡 ,泉塘,4室1厅,134.52,南,精装,中楼层(共33层),板塔结合,2013年
自住精装修好房出售，板楼两梯两户含车位，轻盐阳光城,145,10307,轻盐阳光城 ,汽车南站,3室2厅,140.69,南,精装,低楼层(共25层) ,板塔结合,暂无数据
双地铁口 毛坯三房 满五唯一无个税 楼层好,88,9085,嘉宇银杉 ,金星北,3室2厅,96.87,南,毛坯,高楼层(共33层) ,板塔结合,暂无数据
业主诚心出售  自住装修 9.9成新  万科物业,139,13647,万科魅力之城 ,武广新城,3室2厅,101.86,东南,其他,48层 ,板塔结合,暂无数据
湘江天地品质小区双阳台户型配套全交通便利环境好,177,12376,润和湘江天地 ,金星北,4室2厅,143.03,南,毛坯,中楼层(共30层),板楼,2020年
橄榄城精装三房，婚房装修 采光视野好 人车分流,82.8,7804,橄榄城 ,泉塘,4室2厅,106.11,南,精装,高楼层(共33层),板塔结合,2015年
长沙大学旁精装大三房，小区绿化好，位置安静电梯中层,103,7925,学府华庭 ,广电,3室2厅,129.97,南,精装,中楼层(共11层) ,板塔结合,暂无数据
正地铁口 精装大三房，看湖满五唯一,202,17767,金茂悦 ,梅溪湖北岸,3室2厅,113.7,南,精装,中楼层(共30层),板楼,2014年
一梯两户小高层两房，居家装修，位置安静。,83,9192,山语城二期 ,金霞,2室1厅,90.3,南 北,其他,高楼层(共11层),板塔结合,2013年
地铁口改善大三房，南北双阳台，满五唯一业主急售,118,8515,西子花苑 ,高桥,3室2厅,138.58,南,简装,高楼层(共18层),板楼,2008年
阳光100后海 3室2厅 南 北,118,10949,阳光100后海 ,阳光100,3室2厅,107.78,南 北,精装,中楼层(共6层),板楼,2009年
绿地洋房带大露台 看房方便  房东诚心出售,117,9959,绿地海外滩一期 ,金霞,4室2厅,117.49,南,毛坯,中楼层(共6层) ,板塔结合,暂无数据
洋湖十八克拉洋房，使用面积大，南北通透户型好,330,25147,旷远洋湖18克拉 ,洋湖垸,5室2厅,131.23,南 北,毛坯,高楼层(共5层) ,板塔结合,暂无数据
南北向正规4房 品质精装修拎包入住 中间楼层 采光好,134.8,11072,世纪城贯江苑 ,湘江世纪城,4室2厅,121.75,南 北,精装,中楼层(共28层),塔楼,2008年
精装修 邻地铁 通透3+1四房 能看西湖 岳麓山 带 博 才,198,14416,西湖丽景 ,桐梓坡,4室2厅,137.35,南 北,精装,中楼层(共17层),板塔结合,2009年
近地铁，17年次新小区中间位置，纯新毛坯 南北大四房,158,12963,中建芙蓉嘉苑 ,省政府,4室2厅,121.89,南 北,毛坯,中楼层(共15层),板塔结合,2017年
中隆国际御玺满五唯一看房很方便,262,11102,中隆国际御玺 ,武广新城,4室2厅,236,南,精装,低楼层(共26层) ,板楼,暂无数据
天心区优质两房 青园梓枫 地铁口房源,79,10617,湘府邻伴 ,德思勤,2室1厅,74.41,南,简装,中楼层(共17层),板塔结合,2017年
圭塘河畔  雨花区政府地铁口 精装3房 诚心出售,169.8,13610,万科金域华府 ,武广新城,3室2厅,124.77,南,精装,高楼层(共34层),板塔结合,2013年
自住装修，满五唯一，诚心出售，集中供暖，看房方便。,88.8,6993,怡海星城 ,暮云,3室2厅,127,南,精装,中楼层(共15层),板塔结合,2016年
次新小区 美迪公司装修 全线湖景房,169,15686,蓝光雍锦阁 ,桐梓坡,3室2厅,107.74,南,精装,中楼层(共21层),板楼,2019年
18年科技品牌住宅大平层，带地暖，视野好。,145,11138,芙蓉万国城MOMA ,汽车东站,3室2厅,130.19,南 北,精装,中楼层(共34层),板塔结合,2018年
桂花二村 2室1厅 南,45,7204,桂花二村 ,桂花村,2室1厅,62.47,南,精装,中楼层(共8层) ,板楼,暂无数据
地铁口 次新小区 很棒的楼层 南北通透,146,11334,润和滨江府二期 ,金星北,4室2厅,128.82,南 北,精装,中楼层(共34层) ,塔楼,暂无数据
笋盘笋盘，井湾子jian漏精装三房,95,9078,万象美域 ,井湾子,3室2厅,104.66,南 北,简装,高楼层(共30层),板塔结合,2014年
三房不临路，地段位置好，上学方便，地铁口,126,11182,西城龙庭 ,河西步步高,3室2厅,112.69,南 北,简装,低楼层(共28层),板塔结合,2010年
万家丽地铁口中间楼层朝南三房拎包入住配套齐全随时看,99.4,9420,东方新城 ,德政园,3室2厅,105.53,南,精装,6层 ,板楼,暂无数据
户型周正通风效果很好采光好环境优美,97,10183,江山帝景哈佛 ,含浦,3室2厅,95.26,南,毛坯,低楼层(共32层) ,暂无数据,暂无数据
中交公园 南北向 自住精装 满五唯一 密码看房,125,10748,中交中央公园 ,汽车东站,3室2厅,116.31,南 北,简装,中楼层(共32层),板塔结合,2014年
次新小区，环境好 适合居家.业主诚心出售,113.8,10579,奥克斯缔壹城 ,雷锋大道,3室2厅,107.58,南 北,毛坯,中楼层(共32层) ,板塔结合,暂无数据
毛坯 设施齐全，交通便利 上学便利 园林品质小区,328,23278,明昇壹城 ,武广新城,4室2厅,140.91,南,毛坯,中楼层(共6层) ,板楼,暂无数据
店长推荐经典户型， 好楼层 好视野 小区绿化高,68,7666,金地自在城 ,望城区,3室2厅,88.71,南,精装,中楼层(共33层) ,暂无数据,暂无数据
福泽园精装大三房 自住装修 保养很好 采光佳 视野开阔,115,10724,福泽园 ,四方坪,3室1厅,107.24,南 北,精装,中楼层(共32层),板塔结合,2016年
满五唯一 万家丽 鑫科明珠 房子视野好无遮挡,113.8,10730,鑫科明珠 ,马王堆,3室2厅,106.06,南,精装,34层,板塔结合,2012年
此房中间楼栋，双阳台空气对流，楼间距宽,126,9948,中建芙蓉嘉苑 ,省政府,4室2厅,126.66,南,精装,高楼层(共17层),板塔结合,2013年
正地铁口物业，精装拎包入住，南北对流,135,10395,深业喜汇 ,开元路,4室2厅,129.88,南,其他,高楼层(共32层),板塔结合,2019年
经典四房户型 周正通透 配套齐全 交通便捷 近地铁,120,9288,钱隆国际 ,金霞,4室2厅,129.2,南 北,毛坯,高楼层(共33层) ,暂无数据,暂无数据
万境蓝山中层毛坯四房双阳台满五唯一,146,11333,五矿万境蓝山 ,省政府,4室2厅,128.83,南,毛坯,中楼层(共18层) ,暂无数据,暂无数据
清水毛坯，满五唯一，大三房，诚心出售,130,11593,江河东澜湾 ,武广新城,3室1厅,112.14,南 北,毛坯,高楼层(共31层),板塔结合,2015年
店长推荐经典户型， 好楼层 好视野 小区绿化高,64.7,7006,金地自在城 ,望城区,3室2厅,92.36,南,毛坯,中楼层(共30层) ,板楼,暂无数据
滨江美寓精装修大三居，拎包入住，随时可以看房,95,7459,滨江美寓 ,开福区政府,3室2厅,127.37,南,精装,高楼层(共9层),板塔结合,2006年
开福区山语城三期清水毛坯三房江景视野,102,8510,中国铁建山语城三期 ,金霞,3室2厅,119.87,南,毛坯,高楼层(共34层) ,板塔结合,暂无数据
"地铁口胖,品质华润楼盘,居家精装三房,诚心出售随时看",89,9106,凤凰城（三期）紫云府 ,开元路,3室2厅,97.74,南,精装,中楼层(共34层),板楼,2014年
小区环境优美 百强物业 房子户型好 业主诚心卖房,90,10201,中海国际社区五期 ,含浦,3室2厅,88.23,南,精装,低楼层(共33层) ,板塔结合,暂无数据
店长推荐，满五唯一，精装带地暖,86,9660,金富星澜之悦 ,金星北,3室2厅,89.03,南,精装,中楼层(共31层) ,塔楼,暂无数据
此房 户型周正 通透性好 中间楼层安静不吵自住精装,123.8,9629,美林景园 ,武广新城,3室2厅,128.58,南 北,精装,中楼层(共6层),板楼,2005年
房东急售  周正三房  产权在手 随时可交易,130,13798,卓越浅水湾 ,梅溪湖南岸,3室1厅,94.22,南,简装,中楼层(共33层),板塔结合,2014年
阳光城青云苑精装温馨小三房诚心出售，万科品质物业,108,11525,阳光城尚东湾青云苑 ,武广新城,3室2厅,93.71,南,精装,低楼层(共33层),塔楼,2017年
精装三房，户型好安静，看房方便,117,10418,中建嘉和城 ,万家丽南路,3室2厅,112.31,南,精装,低楼层(共34层) ,板楼,暂无数据
满五唯一，居家自住装修，房东外地发展，诚意出售,125,11928,阳光城尚东湾青云苑 ,武广新城,3室2厅,104.8,南,精装,中楼层(共33层) ,板塔结合,暂无数据
此房满五唯一，居家精装修，配套设施齐全，交通便利,81,7688,枫华府第 ,含浦,4室2厅,105.37,南,精装,低楼层(共18层),板楼,2015年
梅溪湖6号线地铁口 房东诚意出售  拎包入住,95,10266,润芳园小区 ,东方红,3室2厅,92.54,东南,精装,11层 ,板塔结合,暂无数据
梅溪湖 清水毛胚 诚心出售 出价就谈,90,8772,骑龙大街 ,梅溪湖北岸,3室2厅,102.6,南,毛坯,31层 ,板塔结合,暂无数据
洋湖湿地公园高楼层精装三房。。。,132.8,14830,北大资源理想家园 ,洋湖垸,3室2厅,89.55,南,精装,低楼层(共32层) ,板塔结合,暂无数据
合能枫丹丽舍三房两厅两卫户型周正诚心出售,105,10486,合能枫丹丽舍 ,万家丽南路,3室2厅,100.14,南 北,简装,中楼层(共32层),板塔结合,2018年
房子全新毛坯，湖景大平层，9年周南中小,420,18936,佳兆业云顶梅溪湖 ,梅溪湖南岸,4室1厅,221.8,南 北,毛坯,中楼层(共49层) ,板塔结合,暂无数据
全新装修 纯板楼 通透三房 视野开阔,99.8,11082,才子佳苑 ,四方坪,3室1厅,90.06,南,精装,高楼层(共18层),板楼,2006年
城轨口花园小区，近地铁，南北向，采光明亮,105,8482,宜居莱茵城 ,河西人人乐,3室2厅,123.8,南,简装,中楼层(共26层),板楼,2010年
二环内 商场旁边 电梯两房 业主急售,72,6599,洪山家园 ,福元西路,2室2厅,109.12,南 北,精装,高楼层(共9层) ,塔楼,暂无数据
此房格局好，楼层好，装修保养好，视野宽阔，采光充足,107.9,8487,四季美景水木轩 ,四方坪,3室2厅,127.15,南,精装,中楼层(共17层),板楼,2007年
"小区中间位置，中高楼层，,地铁口",177.6,16076,中建信和城 ,德思勤,3室2厅,110.48,南,精装,高楼层(共32层),板塔结合,2014年
一线江景东边户南北通透精装四房随时看房,346,24681,万科里金域国际 ,滨江新城,4室2厅,140.19,南 北,精装,高楼层(共41层) ,塔楼,暂无数据
雨花区政府近地铁，圭塘河旁，大三房，拎包入住，急售,138.8,11101,鑫天御景湾一期 ,喜盈门,3室1厅,125.04,南,精装,高楼层(共26层),板塔结合,2013年
刚需3房 边户 首付少 来长沙安家,67.8,8922,星湖湾二期 ,开元路,3室2厅,76,南,精装,高楼层(共32层),板塔结合,2016年
时代二期30万装修 品牌衣柜 格力空调,119.8,10418,时代倾城 ,金星北,4室2厅,115,南,精装,高楼层(共34层) ,板塔结合,暂无数据
精装三房 全新装修 从未入住 诚心出售出价就谈,68,6557,富基世纪公园 ,金星北,3室2厅,103.71,南,精装,低楼层(共32层),板塔结合,2014年
房本在手诚心出售南北双阳台两房德思勤桂花坪汽车南站,86.8,9330,贡院2期 ,德思勤,2室2厅,93.04,南 北,精装,低楼层(共16层),板楼,2013年
芙蓉区中交星城福邸六号线地铁龙湖天街,133.8,8199,星城福邸 ,汽车东站,4室2厅,163.21,南 北,精装,低楼层(共18层),板塔结合,2011年
首套房 不要资格 买正地铁口  上长郡,158,17174,中国铁建梅溪青秀二期 ,梅溪湖北岸,3室1厅,92,南,简装,中楼层(共34层) ,塔楼,暂无数据
南北通风户型、自住装修、满五唯一、人车分流,127.9,14462,兰亭都荟 ,桐梓坡,3室2厅,88.44,南,精装,中楼层(共33层),板塔结合,2014年
融江苑一线江景房 双阳台 2018年装修 业主诚心卖房,153,12885,世纪城融江苑 ,湘江世纪城,3室1厅,118.75,南,精装,中楼层(共33层),板楼,2010年
地铁口，双书书，楼位好，户型布局好，房产证2017,141.39,11565,恒大绿洲 ,武广新城,3室2厅,122.26,南,精装,低楼层(共32层),板塔结合,2014年
翡翠花园大五房，户型好，得房率高，师大旁边，,126,10692,名家翡翠花园 ,金星北,4室2厅,117.85,南,精装,高楼层(共18层),板塔结合,2011年
中建央企 户型周正 大阳台 人车分流 中建物业 四房,130,9821,中建嘉和城 ,万家丽南路,4室2厅,132.38,南 北,毛坯,中楼层(共31层) ,板塔结合,暂无数据
少有的毛坯小三房.朝南.随时可看房.,96,10799,碧水春城 ,汽车南站,3室2厅,88.9,南,毛坯,高楼层(共13层) ,板楼,暂无数据
楼层好，视野宽阔，采光充足，环境优美，空气新鲜,73.6,9084,海德公园 ,泉塘,3室1厅,81.03,南,精装,高楼层(共33层) ,板塔结合,暂无数据
中欣楚天熙苑 出行方便 近地铁商*业配套齐全 双卫生间,124.8,10692,中欣楚天熙苑 ,马王堆,3室2厅,116.73,南 北,毛坯,中楼层(共35层) ,板塔结合,暂无数据
明昇壹城 武广板块 小三房 长郡双语 枫树山,160,16795,明昇壹城 ,武广新城,3室2厅,95.27,南,精装,高楼层(共18层) ,板楼,暂无数据
满五唯一 一楼带花园 业主诚心卖，价格可谈,135.8,11271,植物原著 ,汽车南站,3室2厅,120.49,南 北,毛坯,低楼层(共8层),塔楼,2017年
清水毛坯出售，户型周正， 位置安静，看房方便,51,6644,绿地海外滩一期 ,金霞,3室2厅,76.77,南 北,毛坯,高楼层(共32层),板塔结合,2016年
天阔里。万科物业，环境优美，交付标准高，业主换房子,136.8,13314,万科魅力之城 ,武广新城,3室1厅,102.75,南,精装,48层,板塔结合,2020年
次新小区，纯毛坯，人车分流，长郡旁,85.8,8459,丰园城丰祥苑 ,汽车南站,3室2厅,101.44,南 北,毛坯,低楼层(共26层) ,塔楼,暂无数据
梅溪湖 卓越浅水湾 经典三房 满五唯一 诚心卖免个税,132,14010,卓越浅水湾 ,梅溪湖南岸,3室2厅,94.22,南,简装,高楼层(共33层),板塔结合,2014年
笋盘看江通透星城书香苑大4房双阳台12年小区随时看房,153,10833,星城书香苑 ,书院路,4室2厅,141.24,南,简装,高楼层(共33层) ,板塔结合,暂无数据
此房满五唯一、南北通透双阳台、得房率高,173.8,15658,明昇壹城 ,武广新城,3室1厅,111,南 北,毛坯,高楼层(共18层),板楼,2016年
保利天禧毛坯小三房中上楼层 满五唯一 急售 急售 急售,145,15619,保利天禧 ,银盆岭,3室2厅,92.84,东南,毛坯,高楼层(共46层) ,暂无数据,暂无数据
环境优美，户型周正，毛坯小三房,45,5001,恒大林溪郡 ,青竹湖,3室2厅,89.99,南,毛坯,中楼层(共33层) ,板楼,暂无数据
3地铁口  户型通透  配套成熟 视野无遮挡,128,9772,泊爱蓝湾 ,尚东,3室2厅,130.99,南,精装,高楼层(共18层),板塔结合,2013年
新上好房天健一期横厅大三房 带装修 华创国际 开福寺,135,9644,天健芙蓉盛世 ,伍家岭,3室2厅,139.99,南 东南,简装,低楼层(共31层),板塔结合,2008年
马王堆地铁口旁 次新小区 户型好 朝向好 小区环境好,89,10276,中欣楚天熙苑 ,马王堆,2室2厅,86.61,南,精装,低楼层(共35层) ,板塔结合,暂无数据
毛坯两房，离月亮岛400米，地铁罐子岭站300米,77.5,9464,长燃新奥佳园 ,金星北,2室2厅,81.89,南,精装,高楼层(共33层) ,板塔结合,暂无数据
采光充足，没有遮挡，环境优美 诚心出售，随时可签,128.9,9034,深业睿城 ,开元路,4室2厅,142.69,南,精装,中楼层(共24层),板塔结合,2013年
正地铁口，精装修，中间楼层，安静三房,121,13505,万科金域华府 ,武广新城,3室2厅,89.6,南,精装,中楼层(共34层),板塔结合,2013年
雨花亭2013年小区 精装三房 公摊小 视野无遮挡,87.8,10024,都市兰亭汇峰苑 ,雨花亭,3室2厅,87.59,南,简装,中楼层(共32层),塔楼,2013年
次新小区 全新装修 视野好 看湖看山,178,14627,蓝光雍锦阁 ,桐梓坡,3室2厅,121.7,南,简装,中楼层(共20层),塔楼,2019年
95平3+1户型，好楼层，视野好，房本在手，满五唯一,123,12872,兰亭湾畔一期 ,洋湖垸,3室2厅,95.56,南 北,精装,高楼层(共31层) ,板塔结合,暂无数据
领包入住装修，看房方便，地铁口,135,15420,南山雍江汇一期 ,滨江新城,3室2厅,87.55,南,精装,31层,板塔结合,2012年
佳兆业水岸新都东区 3室2厅 南,58.8,6862,佳兆业水岸新都东区 ,跳马,3室2厅,85.7,南,简装,低楼层(共32层) ,板楼,暂无数据
澳海澜庭 精装未入住 业主诚心,106.5,9485,澳海澜庭 ,金星北,3室2厅,112.29,东,精装,高楼层(共32层) ,暂无数据,暂无数据
滨江金融商圈 茶子山地铁口 卓越中寰,225,19917,卓越中寰 ,滨江新城,3室1厅,112.97,南,精装,中楼层(共42层) ,塔楼,暂无数据
天麓尚层五期 满五唯一 中电旁 城轨旁 尖山湖公园旁,97,8843,天麓尚层 ,雷锋大道,3室2厅,109.7,南 北,毛坯,中楼层(共34层),板塔结合,2017年
城轨+地铁 次新小区居家精装三房 满五唯一,72.8,9493,叠彩兰亭 ,树木岭,3室1厅,76.69,北,精装,中楼层(共33层) ,板塔结合,暂无数据
急售 二楼好楼层 满五唯一省个税 单位房有固定停车,65,5910,桔园小区 ,雨花亭,3室2厅,110,南 北,简装,低楼层(共7层) ,板楼,暂无数据
清水毛坯 带地暖 视野开阔 采光充足 汽车东站交通便利,83,9326,芙蓉万国城MOMA ,汽车东站,3室1厅,89,南,毛坯,高楼层(共33层) ,板塔结合,暂无数据
阳光城 三房两厅两卫 全新装修未住过人 随时可看房,129.8,11631,阳光城尚东湾 ,武广新城,3室2厅,111.6,南 北,精装,中楼层(共28层),板塔结合,2020年
业主是我朋友，看中了价格好聊，只要不是出太离谱,191,15151,中铁西江悦 ,观沙岭,4室2厅,126.07,南,简装,低楼层(共27层) ,板塔结合,暂无数据
典藏三房，安静宜居，中间楼层安静宜居，保养好,118,13313,万科金域华府 ,武广新城,3室2厅,88.64,东南 西南 东北,精装,高楼层(共34层) ,板塔结合,暂无数据
双地铁 满五唯一 业主急售 户型好,208,14817,荣悦台 ,黄土岭,3室2厅,140.38,东南 南,毛坯,中楼层(共33层),板楼,2016年
房东诚心卖，小区环境好，绿化较好，空气清新,78,9634,麓枫和苑 ,河西大学城,2室1厅,80.97,南,精装,高楼层(共11层),板楼,2011年
格局楼层好配套设施齐全交通便利,214.8,13065,润和湘江天地 ,金星北,4室2厅,164.42,南,毛坯,中楼层(共25层) ,板楼,暂无数据
左家塘十字路口，单位院子，首付仅需6万雅礼陪读好房,29,4374,国立小区 ,窑岭,2室1厅,66.31,南 北,简装,高楼层(共7层) ,板塔结合,暂无数据
五矿户型通透三房，实用，总价低，砂子塘 +雅礼,126,13621,五矿万境水岸一期 ,喜盈门,3室2厅,92.51,南,简装,高楼层(共34层),板塔结合,2013年
次新小区江山帝景哈佛精3房， 拎包入住 ，诚心出售,106,11210,江山帝景哈佛 ,含浦,3室2厅,94.56,南,精装,低楼层(共32层) ,板塔结合,暂无数据
次新小区 长房云时代 自住精装小三房 楼层好 视野好,112,11564,长房云时代 ,雷锋大道,3室1厅,96.86,南,精装,中楼层(共34层) ,板塔结合,暂无数据
梅溪香山小高层师梅＋博才纯毛坯4房业主急售,305,21824,长房梅溪香山 ,梅溪湖南岸,4室2厅,139.76,南,其他,中楼层(共16层),板楼,2017年
北辰地铁上的楼盘户型正规通透，精装卖毛坯价,270,18739,北辰三角洲凤凰公元 ,北辰三角洲,4室2厅,144.09,南,精装,中楼层(共44层),板塔结合,2018年
恒伟湘江时代 洋湖次新小区 近地铁 出行方便,198,15343,恒伟湘江时代 ,洋湖垸,4室2厅,129.05,南,精装,中楼层(共32层),板塔结合,2017年
开元路，筑梦佳园 四房户型周正，得房率高,82.8,8904,筑梦佳园 ,开元路,4室2厅,93,南 北,精装,低楼层(共33层) ,板塔结合,暂无数据
西山汇景  一期 采光好 周正户型，周正户型，周正户型,248,15026,西山汇景 ,桐梓坡,4室2厅,165.05,南,毛坯,低楼层(共18层),板塔结合,2009年
属于二楼，不临街安静，有架空独立露台小院入户花园,198,12325,西湖丽景 ,桐梓坡,4室2厅,160.65,南,精装,低楼层(共17层),板塔结合,2009年
大客厅 挨着公园 不挨马路 很安静 毛坯尽情设计,162,12657,高信向日葵 ,金星中路,3室1厅,128,南 北,毛坯,高楼层(共18层),板塔结合,2015年
地铁口，绿化好。无家具，户型好。南北双阳台,109.8,8382,恒大御景天下二期 ,金霞,3室2厅,131,东,简装,中楼层(共32层) ,板塔结合,暂无数据
保利西海岸 精装复式楼，中间楼层 视野好 满五唯一,263,20010,保利西海岸 ,银盆岭,4室1厅,131.44,南,精装,中楼层(共45层),板楼,2016年
省府南地铁口洋房带60平大露台，出价就谈,82,6623,御邦二期 ,暮云,3室1厅,123.82,南 北,毛坯,中楼层(共6层) ,板塔结合,暂无数据
急急急松雅湖吾悦广场户型周正你喜欢吗,128.8,9267,中建悦和城 ,开元路,4室2厅,139,南,精装,中楼层(共34层) ,板塔结合,暂无数据
地铁口电梯复式带露台五房，麓谷明珠买一得二,140,14315,麓谷明珠 ,枫林三路,5室2厅,97.8,南 北,简装,高楼层(共17层),板塔结合,2012年
梅岭国际大平层   很安静不靠马路  南北户型大五房,280,15299,惠天然梅岭国际 ,梅溪湖北岸,5室2厅,183.03,南 北,毛坯,中楼层(共30层),板楼,2018年
湘熙水郡一期小三房92平米，临地铁靠湘江靠洋湖公园,112.5,12285,湘熙水郡 ,洋湖垸,3室2厅,91.58,南,简装,低楼层(共33层),板塔结合,2014年
此房满五唯一省个税，自住精装，保养很好，很诚心卖,75.8,8936,山水华景 ,马王堆,3室2厅,84.83,北,精装,27层,塔楼,2008年
紫云阁 精装两房，满五唯一，免个税，完全人车分流,46.8,5387,紫云阁 ,泉塘,2室2厅,86.89,南 北,简装,低楼层(共33层),板塔结合,2013年
长沙大道 次新小区 中间楼层 3室2卫 精装修 人车分流,130.3,12153,阳光城尚东湾青云苑 ,武广新城,3室2厅,107.22,南,精装,中楼层(共34层) ,板塔结合,暂无数据
凤凰城二期 次顶楼 华润物业，居家精装，南北通透,88,8032,华润凤凰城二期 ,开元路,3室2厅,109.57,南 北,精装,高楼层(共34层) ,板塔结合,暂无数据
地铁口南北通透的大三房，业主诚售,110.2,8688,四季美景 ,四方坪,3室2厅,126.85,南 北,简装,高楼层(共16层),板楼,2006年
背靠省植物园天然氧吧5号线宜居三房,75,7423,森林公园壹号 ,汽车南站,3室1厅,101.05,南 北,精装,高楼层(共18层),塔楼,2011年
19年新中式装修大三房，带全套家具家电，可拎包入住,318,27805,钰龙天下佳园 ,观沙岭,3室2厅,114.37,南,精装,高楼层(共33层),板塔结合,2011年
月亮岛地铁口 毛坯4房 证在手 东边户 诚心卖,107,9350,勤诚达境界城 ,金星北,4室2厅,114.44,南 北,毛坯,高楼层(共34层) ,板塔结合,暂无数据
枫树山一路之隔，满五唯一，精装修，业主诚售，九成新,83.9,10394,中航城 ,万家丽南路,3室2厅,80.72,南,精装,高楼层(共34层) ,板塔结合,暂无数据
钰龙天下一期优质好房，随时可用，近且方便，诚意出售,259,33274,钰龙天下佳园 ,观沙岭,2室1厅,77.84,南,精装,低楼层(共33层),板塔结合,2011年
高楼层 视野宽阔 近地铁 业主诚心出售 价格可谈,85,9728,时代倾城 ,金星北,2室2厅,87.38,南,精装,高楼层(共34层) ,板塔结合,暂无数据
有小区环境，两梯三户，正规一房带燃气,52.8,9437,怡然四方锦城 ,四方坪,1室1厅,55.95,南,毛坯,低楼层(共18层) ,板楼,暂无数据
单位房人员纯粹，19年精装拎包入住，小洋房，居家舒适,195,12094,金桂园 ,汽车南站,5室2厅,161.25,南 北,精装,中楼层(共11层) ,暂无数据,暂无数据
德思勤商圈带露台大四房，中式风格带家具家电车位出售,258,12944,长沙奥林匹克花园 ,德思勤,4室2厅,199.33,南 北,精装,低楼层(共14层),板楼,2010年
装修保养很好大三房，真的保养很好，改善型首要选择,105,8153,蓝山郡 ,开元路,3室2厅,128.79,南,精装,高楼层(共33层) ,板塔结合,暂无数据
保利麓谷林语F区高层优质三房，随时预约看房,100.8,10143,保利麓谷林语F区 ,麓谷西,3室2厅,99.38,南,精装,高楼层(共32层),板塔结合,2013年
中建信和城 通透三房两卫 自住三十W精装修 青园,168.8,17401,中建信和城 ,德思勤,3室2厅,97.01,南,精装,高楼层(共33层),板塔结合,2014年
周正精装4房，通透性强保养好，成熟商圈配套,83.8,8498,蓝山郡 ,开元路,4室2厅,98.62,南,精装,中楼层(共33层) ,塔楼,暂无数据
单位房低楼层 精装修 满五唯一 密码钥匙看房,45,6979,轻工设计院小区 ,井湾子,2室1厅,64.48,南,精装,中楼层(共4层) ,暂无数据,暂无数据
正地铁口！交通便利，格局好，视野宽阔，采光充足！！,62,6726,雅雀湖小区 ,四方坪,3室2厅,92.19,南 北,精装,中楼层(共8层),板楼,2003年
车位一起出售 临湖边  好楼层 满五唯一 业主急售,159,14683,卓越浅水湾 ,梅溪湖南岸,3室1厅,108.29,南,精装,中楼层(共33层),板塔结合,2019年
央企品牌，满五唯一，楼层采光好，视野开阔。,68,7449,中建麓山和苑 ,含浦,2室1厅,91.29,南,精装,高楼层(共25层),板塔结合,2013年
井湾子业主自住装修三房 满五唯一省个税 业主急售,68,6821,东方名都百草园 ,井湾子,3室2厅,99.7,南,精装,高楼层(共6层),板楼,2007年
山水郡看山中高楼层毛坯四房，好房推荐带车位出售,99,7701,润和山水郡 ,望城区,4室2厅,128.57,南,毛坯,高楼层(共34层) ,板塔结合,暂无数据
愉景苑中间楼栋，好房诚心出售，,94.8,9280,阳光城愉景苑 ,武广新城,3室2厅,102.16,南,毛坯,中楼层(共49层) ,板塔结合,暂无数据
